ENERGY,N,RADIAL WAVF,CHECK
-0.7,0,-92.251183,0
-0.6,1,-4.856721,448.038229
-0.6,0,-92.251183,-25.665645
-0.59,1,-2.181476,201.243734
-0.58,2,-0.058075,0.12669
-0.58,0,-92.251183,-0.09287
-0.58,0,-92.251183,-11.744733
-0.5799,1,-0.039328,3.628091
-0.5798,2,-0.020628,0.000811
-0.5797,3,-0.001974,0.000041
-0.5797,0,-92.251183,-0.000033
-0.57969,1,-0.000111,0.010252
-0.57969,0,-92.251183,0
-0.57969,0,-92.251183,-0.006931
-0.57969,1,-0.000093,0.008533
-0.57969,2,-0.000074,0
-0.57969,3,-0.000055,0
-0.57969,4,-0.000037,0
-0.57969,5,-0.000018,0
-0.57969,0,-92.251183,0
-0.579689,1,-0.000016,0.001489
-0.579689,2,-0.000014,0
-0.579689,3,-0.000012,0
-0.579689,4,-0.000011,0
-0.579689,5,-0.000009,0
-0.579689,6,-0.000007,0
-0.579689,7,-0.000005,0
-0.579689,8,-0.000003,0
-0.579689,9,-0.000001,0
-0.579689,0,-92.251183,0
-0.579689,1,-0.000001,0.000097
-0.579689,2,-0.000001,0
-0.579689,3,-0.000001,0
-0.579689,4,0,0
-0.579689,5,0,0
-0.579689,6,0,0
